EntrezID	Length	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1
77777	1819	84
237253	3403	48
18537	1917	1155
320642	1253	12
69912	1290	219
407824	2188	48
16798	7215	3739
23924	1775	1000
215751	1557	971
100503695	916	12
67418	2896	1534
237256	4093	0
100628581	94	0
68652	4278	2814
338362	4284	49
70097	7183	2290
791352	3151	1
320825	2495	1591
620417	2980	0
78808	9074	637
215772	5218	1
67844	2054	179
382450	3785	4
14816	6990	0
78056	444	0
268281	9293	295
71865	5114	1805
13853	1079	29
22288	12382	2495
320273	1182	48
74732	2396	509
66125	734	688
22634	5260	883
100862331	414	0
75122	1053	0
353258	1769	1202
215789	8913	446
66848	3954	1112
56535	2405	362
66757	1453	183
66253	1054	404
15273	9768	1556
100504211	3928	3
215798	6505	729
100039571	514	307
66201	1325	517
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	705
378431	4457	3
380629	3667	853
73112	810	683
19707	2618	1058
100045792	2900	0
215814	1166	77
215819	7638	3171
56016	1910	349
215821	8216	122
237300	2355	0
73968	2928	0
64058	1901	1664
21929	4595	5547
100504265	6220	0
94222	2066	0
15979	2099	1115
237310	2468	0
237313	2088	5
76157	2629	22
18634	1894	403
26408	5393	675
17761	3895	1721
73811	629	3
621697	592	3586
72567	5454	4746
71804	2307	163
29863	4127	298
52906	5094	111
100038717	3304	0
100504283	1667	0
17863	3777	791
56422	4893	2069
73990	1016	2
237320	2243	4
76924	485	0
67692	1061	0
432436	2206	2
20393	4158	24146
114671	1771	0
319887	2292	5
379043	1274	9
667281	952	1
606736	4515	1
56554	1271	0
100038752	4548	0
353169	3762	102
237336	2875	500
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	0
20042	518	314
100529074	105	30
100529075	68	32
76306	2837	203
26464	1811	0
22361	2416	2
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	811
100862153	747	0
59012	3083	9
14219	2403	1734
18605	3224	477
209558	2815	1339
70208	4946	700
11846	1477	3337
432442	3123	99
13822	4464	600
100504474	674	0
73803	865	0
215866	1543	3
77220	4115	1
100040851	1193	0
268288	3554	0
237339	3411	259
667572	1206	0
73910	3616	494
16773	9713	37
100040961	485	53
19272	6177	4991
210757	3981	0
100504516	4347	0
114676	1545	73
67719	1319	1
67412	3948	0
212448	5644	0
52665	3180	202
68031	4404	708
72780	2397	0
100504540	2648	0
66311	1512	75
73681	2359	212
100504586	3440	109
66847	696	118
211329	5338	267
15214	2532	118
69692	718	737
21987	1267	186
100041294	710	337
268291	2860	390
432450	3745	1
76757	4514	2
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	2
72580	2364	235
414093	7840	7
66521	1082	182
692132	1185	0
270711	3714	0
103511	1786	6
215900	1082	7
212898	4225	214
22110	2696	987
72480	3900	37
319638	2716	526
12813	3130	0
14302	4805	565
100041585	3201	5283
319415	3098	0
15182	2004	1464
17118	4186	1700
215919	1054	0
16775	6046	654
66337	730	6
71924	2929	82
327743	1418	3
14360	3692	102
100504626	1313	0
103213	2867	656
327744	1664	63
19714	10666	3193
100504659	947	4
213332	781	48
75299	2400	2
72045	2285	0
100041085	1782	9
215928	5981	1
215929	2679	3
72472	6556	56
67239	1890	254
67371	1020	635
19850	104	0
11702	3206	1497
78334	5807	3465
70840	2243	0
70503	3000	128
327747	1529	50
71713	3366	672
83767	2550	62
100504721	508	15
140741	1092	0
103199	3263	395
633979	5640	0
268294	2831	246
